id,customer_message,difficulty,pipeline_reply,judge_score,human_score,difference,human_notes
case_2912476_2912478,"Great customer service!👍 if there’s any way you can let your product teams know the new play view, such as on Spotify’s ‘mint’ playlist, is awesome... please add the option for this across the app! 😉 https://t.co/IwnieK03Ve",normal,"1: Hey Jason! We can see why that'd be useful. We don't have any info to share right now, but be sure to...",5,5,0,"Clear, accurate, and completely grounded response."
case_2913925_2913924,can’t play anything that isn’t downloaded 😤😤😤😤😤 iPhone 7 with the latest app update,normal,Hey there! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt,5,5,0,"Clear, accurate, and completely grounded response."
case_543134_543133,why can’t I play “People are crazy” by @user ? I’m not mad. Just disappointed.,normal,Hey there! Are you getting any specific error messages while listening to his tracks? What device/OS & Spotify version are you using? /CE,5,5,0,"Clear, accurate, and completely grounded response."
case_2894032_2894030,"Hello! The new Sect album, No Cure for Death, is not showing up on the band's Spotify page. What can I do to help resolve this?",normal,We're afraid we don't have any updates on this yet. Don't worry! We’ll have it available to you as soon as it’s available to us! Feel free to tweet us if there's anything else /GK,5,5,0,"Clear, accurate, and completely grounded response."
case_2975083_2975082,I can't log into my account and I need to cancel my account. All I have is my credit card number HELP!!!!,normal,Hey Brandon! We've already sent a response to you via DM. Let's continue chatting there 🙂 /CH,4,4,0,"Clear, accurate, and completely grounded response."
case_163736_163734,the ios beta update screws with spotify. my music stops any time i get a notification and wont play unless i reopen the app. please look into this,normal,Hey there! The cavalry's here. Could you let us know the exact iOS and Spotify version you're using? We'll see what we can suggest /KB,5,5,0,"Clear, accurate, and completely grounded response."
case_511820_511821,Done that and it's still coming up with the same error message,normal,Hmm. Could you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt,5,5,0,"Clear, accurate, and completely grounded response."
case_677106_677105,"Unable to log in, unable to reset password and unable to contact anybody. Pls get back to me asap or i will cancel account",normal,"Hey there, help's here! Can you DM us your account's email address? We'll check backstage /MO https://t.co/ldFdZRiNAt",5,5,0,"Clear, accurate, and completely grounded response."
case_590132_590130,do you have any trial offers to see how the family pack works? Currently with @user but the family profiles don’t play through @user so it’s a waste of money for me.,normal,Hey there! Could you DM us your account's username or email address? We'll take a look backstage /GU https://t.co/ldFdZRiNAt,5,5,0,"Clear, accurate, and completely grounded response."
case_592805_592808,"Just check your support forum for ""api-ms-win-core-processthreads"". Your last automatic update (that still cannot be disabled from settings) killed all installs on Win7 and you cannot even rollout a fix automatically because those installs don't run anymore.",normal,"Thanks! Just to check, are you still unable to log in to your account? If so, can you send us a screenshot of what you're seeing? /PL",5,5,0,"Clear, accurate, and completely grounded response."
case_499228_499226,how do you release a new update for your shitty app and in turn undownload ALL the songs that I've already downloaded? I swear you suck in every way possible,normal,"Thanks for the info. We're afraid after reinstalling the app, you need to download your offline tracks again the same way you've downloaded them previously. Hope this clears things up /AR",5,5,0,"Clear, accurate, and completely grounded response."
case_564510_564509,"weird issue, I added a song to my saved songs playlist on my tablet but it doesn't appear on my phone? I found it on the release radar playlist, and I can see the song in the playlist on my tablet, but not my phone. Song is Fly Away - DJ Pauly Peach Remix. https://t.co/JIqoBO7UIN",normal,"Hey Ivan, we're here to help! Could you DM us your account's email address and username? We'll check backstage for you /BX https://t.co/ldFdZRiNAt",5,5,0,"Clear, accurate, and completely grounded response."
case_462670_462671,"A restart seems to have fixed the black screen issue. However it still switches to offline mode between sessions (on both wifi and data,).",normal,Great! Glad to hear it's working now. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ 🙂 /NY,5,5,0,"Clear, accurate, and completely grounded response."
case_573743_573742,can you help. All of a suddden. Having all sorts of problems accessing my premium account. Music disappeared. Can't access premium. Can't reset password. Saying token invalid? Please can you resolve?,normal,"Hey Leo, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO https://t.co/ldFdZRiNAt",5,5,0,"Clear, accurate, and completely grounded response."
case_2872002_2872001,where’s the REPUTATION ALBUM????? LMK @user,normal,"Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /LO",5,5,0,"Clear, accurate, and completely grounded response."
case_500983_2919256,Not working in Brasil :/,ambiguous,"We appreciate the heads-up. If there's anything else we can help with, just say the word. We're always a tweet away /MT",4,4,0,Ambiguous customer prompt; reply provides general troubleshooting.
case_173614_173618,What do I do?? https://t.co/knTHvjU6hW,ambiguous,"Hi JP! Sorry to hear that. Just to confirm, are you referring to your saved songs or the ones you've downloaded for offline listening? /CP",4,4,0,Ambiguous customer prompt; reply provides general troubleshooting.
case_2919270_2919269,what's up with the app? https://t.co/Thc7mCGkHt,ambiguous,"Hey there! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK",5,4,1,Ambiguous customer prompt; reply provides general troubleshooting.
case_2821_677078,Hello kakarenew ko lNgkahapon why sooolate???,ambiguous,"Hey there! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /FR",4,4,0,Ambiguous customer prompt; reply provides general troubleshooting.
case_2941503_2941502,"I'm being charged for Premium on my phone bill but I don't have any account details to login and cancel, and I also can't use your contact form without login details. Help, stuck in payment loop I can't get out of!",ambiguous,Hey Brandon! We've already sent a response to you via DM. Let's continue chatting there 🙂 /CH,4,4,0,Ambiguous customer prompt; reply provides general troubleshooting.
case_492394_492393,Hi can I have help ASAP !!!,ambiguous,"Hey, help's here! We've just replied to your DM. Check it out. Let's carry on chatting there /MC",5,4,1,Ambiguous customer prompt; reply provides general troubleshooting.
case_1630498_1630497,please help me with my account!!!,ambiguous,Hey Russ! How can we help you today? /DB,5,4,1,Ambiguous customer prompt; reply provides general troubleshooting.
