id,text,intent,expected_decision,difficulty,notes
case_2979789_2979788,continuing problem. Someone got into my account & is using it. They also changed my account to a family plan. I’ve changed my FB password. What else can I do? @user @user,billing_subscription,auto_handle,normal,Standard billing/subscription FAQ: safe for automated guidance.
case_461477_461476,"I'm having trouble resetting my password, can anyone help @user",other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_607495_607494,I was just trying to access on my PC. Getting Bad Gateway errors like above...,other_support,escalate,hard,General customer inquiry (security_risk): outside core functional intents.
case_1983024_1983023,"it would be nice to be able to login on the web page, I can login on the app but not your home page like come on",other_support,escalate,hard,General customer inquiry (security_risk): outside core functional intents.
case_143019_143018,"Hi, I discovered someone was listening through my account, I clicked sign out everywhere and changed password, anything else I should do?",other_support,escalate,hard,General customer inquiry (security_risk): outside core functional intents.
case_2964689_2964688,"How long do I need to wait until I get my account back? Someone changed my email address and now I have no access to my account. I already emailed the account changed email, but I have no idea how long I need to wait to get a response",other_support,escalate,hard,General customer inquiry (security_risk): outside core functional intents.
case_603592_603591,Why does Quebec have restrictions? It is unfair that I can't access the Student Discount!,billing_subscription,auto_handle,normal,Standard billing/subscription FAQ: safe for automated guidance.
case_572092_572091,"Is there a way to download or access my own user/listening data? Would love to do my own exploratory analysis on this data, and be able to archive it.",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_1490594_1490593,"cant login, says country code doesnt match account. But its the same. In Canada,",other_support,escalate,hard,General customer inquiry (security_risk): outside core functional intents.
case_508855_508854,"I have the family plan and a hacker has hacked me twice this past month. I changed my password, but this time they changed my log in info. I cant do a thing. I NEED HELP https://t.co/8t2QYN8LtT for id proof",account_access_security,escalate,hard,Account compromise / security breach: requires human identity verification.
case_617479_617478,"Hello. I dont want to login via FB anymore, but create a separate Spotify account. Can you please help me with moving my music (lists and downloads) across. Thank you",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_581514_581513,"hi. can you help me? i cant login to my account. it says ""an occured error. please try again later""",other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_122100_122099,I think someone’s hacked my account and changed the email address registered so I can’t reset password. What do I need to do?,account_access_security,escalate,hard,Account compromise / security breach: requires human identity verification.
case_524359_524358,"Hey @user my student account reverted to a regular premium account. I reauthorized as a student, now I can't access Hulu. Help.",other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_2833795_2833794,I am locked Out of my Facebook account and can't log in to my spotify account. Can someone please help me cancel my subscription And apply for a new account with a new email?,account_access_security,escalate,hard,Credential access issue: password reset / login failure.
case_2975083_2975082,I can't log into my account and I need to cancel my account. All I have is my credit card number HELP!!!!,account_access_security,auto_handle,normal,Credential access issue: password reset / login failure.
case_566293_566292,I created an account with my old Facebook account that was set up with my old number. I added premium as well however I want to cancel it & I cannot as I can’t sign into the account anymore. Can you please help me cancel it?,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_79461_569636,Could I cancel my current subscription and then take out this offer? 😉,other_support,escalate,hard,General customer inquiry (financial_dispute): outside core functional intents.
case_2942726_2942724,Hey ! I get my money back ! But I have another problem :/ I wanted to pay again for Premium with student discount but I can't ! It is written that your card couldn't be used .What should I do ? I'll be grateful for answer ;),billing_subscription,auto_handle,normal,Standard billing/subscription FAQ: safe for automated guidance.
case_2941503_2941502,"I'm being charged for Premium on my phone bill but I don't have any account details to login and cancel, and I also can't use your contact form without login details. Help, stuck in payment loop I can't get out of!",other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_662930_662929,I permanently deleted my Facebook which is linked to my Spotify account. I want to cancel my subscription but can't find a way to log in without using my facebook details. Help,cancellation_refund,escalate,hard,Disputed charge or cancellation/refund request: financial risk requires human agent.
case_572681_572679,really can’t remember the username or email address I used to set up my account and the free trial ends soon 😭😭😭 how do I cancel/delete the account pls,other_support,escalate,hard,General customer inquiry (financial_dispute): outside core functional intents.
case_149372_149371,how do you cancel. Oh Spotify tells you how but doesnt supply an easy way. #rippedoffbyspotify,other_support,escalate,hard,General customer inquiry (financial_dispute): outside core functional intents.
case_93879_93878,"Hi, please help. I have recently renewed my mobile contract and they have offered me 24 months Spotify premium to sweeten the deal. I'm already a premium subscriber so what's my best option going fwd. Cancel and start from scratch? Tia",other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_535329_535328,I might cancel my premium I can’t access my account I got a new one I need to delete it if it’s not accable not happy no one has helped me I forgot my id pass word,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_704838_704837,"cancelled my facebook account which was linked to my spotify account; If I can no longer access it, how can I cancel my spotify account to create a new one?",other_support,escalate,hard,General customer inquiry (financial_dispute): outside core functional intents.
case_2850060_2850059,I need to find out the email associated to my account as I only know the username so I can cancel my subscription,cancellation_refund,escalate,hard,Disputed charge or cancellation/refund request: financial risk requires human agent.
case_533552_533551,Hi @user I want to cancel an account but don't have access to the email anymore. Can you help please?,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_89564_89563,Why have I been charged twice for my subscription this month?,billing_subscription,escalate,hard,Disputed charge or cancellation/refund request: financial risk requires human agent.
case_2842897_2842896,We need help. My brother paid his premium subscription using his globe prepaid. He has been charged twice but he's still on free mode. Can you help?,billing_subscription,escalate,hard,Disputed charge or cancellation/refund request: financial risk requires human agent.
case_2919270_2919269,what's up with the app? https://t.co/Thc7mCGkHt,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_446900_446899,what's going on with spotify???????????????????????????? @user,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_2915274_2915273,you might be broken,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_590157_2825195,Why i can't pay??,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_500978_2919314,Not working in Barry,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_173614_173618,What do I do?? https://t.co/knTHvjU6hW,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_2920728_2920726,advising not working at moment :(,other_support,escalate,ambiguous,General customer inquiry (short_vague): outside core functional intents.
case_2917939_2917938,What's wrong with @user ARGH https://t.co/FUfu34Tai2,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_564493_564492,I need help with my account,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_67703_2912362,All clear of what?,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_620389_620393,No that didn’t help.,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_1630498_1630497,please help me with my account!!!,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_669339_669337,why are my songs skipping randomly,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2912530_2912529,why aren’t you working😭,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_129759_129758,please fix this,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_171135_171136,What's the best one?,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_64365_64364,what is this 😂 #StrangerThings https://t.co/1qAPa8ijve,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_2815058_2815057,"What is this, @user ? https://t.co/TygZ3xwxVt",other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_500983_2919256,Not working in Brasil :/,other_support,escalate,ambiguous,General customer inquiry (short_vague): outside core functional intents.
case_2821_677078,Hello kakarenew ko lNgkahapon why sooolate???,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_488793_488795,"One reason: ""Your Spotify app needs updating."" App updates require deleting all offline files? So I should just never update your app?",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2920672_2920671,"Spotify is down in Brazil. There's no error message, but i don't be able to play any music",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2910961_2910963,In the web player I’ve been getting a gateway 504 error message. When the page does load none of the music will play. I’m in chrome on Linux. On my iPhone none of the search function works I get a blank page for the results.,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_462670_462671,"A restart seems to have fixed the black screen issue. However it still switches to offline mode between sessions (on both wifi and data,).",app_crash_technical,auto_handle,normal,App stability / crash issue: clean reinstall and cache clearance resolve issue.
case_450079_450081,Thanks for getting bck. Yes its the most recent available vrsn via Google play. Previous also did the same for short period. But seem to resolve. With recent update its bck with vengeance. Have also de/re-installed the app. No avail.,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_558609_558607,"hey just done the new android system update on my obe plus 3 and am having problems where the sound goes down then up when I play a song, close the app or get any notifications. Any fix?",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_667906_667905,"I'm locked out of my app. Everytime I try to login I get an Error Message - 'You are current set to offline, please go online to login' if I can't get in I can't change the settings",account_access_security,escalate,hard,Credential access issue: password reset / login failure.
case_2577771_2577773,"well it has caused the screen to freeze before (the next ad wouldn’t play and I’d have to re start the app) but it’s just very repetitive, I get the ad quite a lot in comparison to other ad’s, and i am not a child nor parent so won’t be buying the cd aha x",app_crash_technical,auto_handle,normal,App stability / crash issue: clean reinstall and cache clearance resolve issue.
case_128864_128863,"I can't log in to my account cos my account was set to offline, I click to go online while trying to log in and it just stays on a black screen?",account_access_security,auto_handle,normal,Credential access issue: password reset / login failure.
case_667906_667907,"I'm locked out of my app. Everytime I try to login I get an Error Message - 'You are current set to offline, please go online to login' if I can't get in I can't change the settings",account_access_security,escalate,hard,Credential access issue: password reset / login failure.
case_2942721_2942723,"No, I was saying that I noticed that it's now a feature when I play my Discover list and just wanted to let you know I appreciate it!",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_166680_166679,"why is my desktop player always going ""can't play the current song"" after 6 seconds on ANY track. Annoying.",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_1630325_1630324,"I want @user to push boundaries and build a watch and wireless headphones. If you build it, they will come! (coming from a lifelong @user user)",other_support,escalate,normal,General customer inquiry (playback): outside core functional intents.
case_2912476_2912478,"Great customer service!👍 if there’s any way you can let your product teams know the new play view, such as on Spotify’s ‘mint’ playlist, is awesome... please add the option for this across the app! 😉 https://t.co/IwnieK03Ve",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_100149_100148,des soucis avec la connection @user ? Impossible de me reconnecter à ma Play:1 Cc @user @user,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_102208_102207,"hey there, so i'm playing a playlist and then denzel curry - ultimate comes on and plays, but the song keeps ""playing"" after the song is over. the song was supposed to be over at 3:09 but it's now at 25:15 with no sound or anything and i can't pause or skip. pls hlp",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_2963335_2963334,"every time I open spotify web player in chrome, I can't play anything. I click the play button on a playlist or song, and no action is taken. I have to close chrome and reopen it before I am able to play music. What's up with that?",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_168128_168127,"I could be listening to music on Spotify and then it just out of the blue stops, can you please try and fix this problem? It happens when I go into something other than Spotify",other_support,escalate,normal,General customer inquiry (playback): outside core functional intents.
case_1830232_1830231,"having a hard time troubleshooting - every time I️ play an album, Spotify inserts other songs not on the album that I️ cannot skip (sometimes before a song from the album even plays!). Can I️ turn this off...? #Spotify #SpotifyTroubleshooting",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_559967_559965,What's up with the web player? I haven't been able to play anything for a couple of days on either Opera or Firefox...,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_514134_514132,it isn't 1990 and you're not playing cd's. STOP SKIPPING!,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_160530_160531,why does my keyboard play/pause/next/back never work anymore with your app? Coworkers have the same issues so I know it's not isolated to my hardware.,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_603583_603582,"hi there, I'm using google assistant to play my spotify. when I ask it to shuffle a playlist, google finds the correct playlist and acknowledges the command to shuffle, but spotify then plays the list unshuffled. Any fix for this?",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_551299_551298,"""can't play the current song"" every song",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2807547_2807544,"why is it that when the app is playing on my av receiver and has been minimised on my HTC m9, the moment I go back to it it cancels playback on my receiver and stops it on phone. It's borderline unusable.",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_166638_166636,"the ""Time Capsule"" playlist you made for me is great but it's ALL songs on my main playlist that just never come up on shuffle. Why do the same 20-25 songs ALWAYS play? @user",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_590132_590130,do you have any trial offers to see how the family pack works? Currently with @user but the family profiles don’t play through @user so it’s a waste of money for me.,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_172453_172451,whenever I get a Snapchat or open up Snapchat my music from Spotify stops ☹️ can you help me out with this??,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_160560_160558,Anyone else having issues with @user not playing any sound right now?,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_576784_576783,I should be able to control @user volume on my @user @user Sport Watch when playing through my @user bluetooth boom box. #SoftwareUpdateNeeded Please. https://t.co/MnlVeQAnD6,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_631985_631984,I can't log in in my account. It's says that I'm offline but I'm certainly not aince i can tweet you and do other stuffs that requires wlan!!,account_access_security,auto_handle,normal,Credential access issue: password reset / login failure.
case_560992_560991,hello! I have bought my 3 kids Bluetooth speakers for Xmas and would like us all to be able to use Spotify separately at the same time. Is this possible? I already have an account just for me.,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_677089_677087,"Hi @user why can't this option just add the whole album to the end of the current queue like it suggests? Why does it insert the whole album after the current track? Wouldn't this make more sense as a ""Play Next"" option? https://t.co/GjPPxGilfc",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_492392_492391,"You know what would be really useful? On android, being able to add a button to my home screen (Like you can add a route w/ google maps) that's basically ""play whatever is next in queue"". It's currently 3-4 button presses, and annoying UX.",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2834985_2834983,Two questions: do you have to have premium to turn off shuffle play? And can one subscription work on different devices i.e share,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_89539_89540,"iPhone X, running iOS 11.2, listening over wired headphones",other_support,escalate,normal,General customer inquiry (playback): outside core functional intents.
case_163736_163734,the ios beta update screws with spotify. my music stops any time i get a notification and wont play unless i reopen the app. please look into this,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_507419_507418,Just a small thing but when playing a song and then I play that song's radio which has that song as the first in the list then Spotify should just continue playing the song instead of starting from the beginning. Hope that makes sense.,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_573783_573785,"HTC 10 unlocked, android 7. I think it was happening when it was transitioning from bad wifi to cell data being off but can't recall when I pressed play. Why can't I load local data then update later? I was walking away from my home at the time.",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_123465_123463,Electronic 80's (Ministry Of Sound) by Various Artists https://t.co/wndZGh7j2i any reason why I can find this typing it in the Google browser but cannot find it in the Android app search @user @user @user. How many other albums are missing via the search?,library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_2834988_2834987,"The acoustic version of ""Hands Down"" by Dashboard Confessional won't play for me on @user. This is a travesty!",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2913925_2913924,can’t play anything that isn’t downloaded 😤😤😤😤😤 iPhone 7 with the latest app update,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_1822610_1822609,"Why does @user seem to think that when I put in and hit shuffle play on something specific that I want to hear ""suggested songs""? If I wanted something suggested because the artist has other stuff then I would go to the artists other stuff. Get your crap together @user",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_543134_543133,why can’t I play “People are crazy” by @user ? I’m not mad. Just disappointed.,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_688565_688564,"How do I get my smart speakers (@user home, @user or @user #cortana) to NOT default to playing the single on @user but the whole album. Happens a ton. Try asking to play ""the album Losing Sleep by Chris Young"" always plays the single.",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_158944_158943,"Selamat malam @user, saya mengalami kendala di pemutar web saya yg tdk bs pause dan play lagu baru (spt di foto) dan sudah saya coba berbagai cara tp ttp tdk bisa diperbaiki kenapa ya? Bagaimana memperbaikinya? Terima kasih. https://t.co/Aixjo073mn",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2901240_2901238,"why tf does your app play ‘suggested music’ instead of the actual music I want, even when I’ve turned off auto play?",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2920755_2920754,has stopped working and now I’m not sure what to do... I can’t stand next to my stereo with headphones plugged into it until Spotify decides to come back 🙄😩 help.,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_694632_694630,"- hi, My web player doesn't play anything on my work PC, yet streams fine from my mobile devices It just doesnt play even though it logs it on the left. Pls help!",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2818873_2818872,"If I am shuffling one artist, the second I Bluetooth to my car, @user starts to play ""suggested songs""... What is it with this bullshit?",audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2865490_2865489,Why does my discover weekly update on Monday’s on desktop but not on my phone @user ?????? 😩😩😩,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_499228_499226,how do you release a new update for your shitty app and in turn undownload ALL the songs that I've already downloaded? I swear you suck in every way possible,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2912398_2912397,I don't pay monthly for your servers to crash.,app_crash_technical,auto_handle,normal,App stability / crash issue: clean reinstall and cache clearance resolve issue.
case_566286_566285,please help I can’t log in to my Spotify error 404,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_592805_592808,"Just check your support forum for ""api-ms-win-core-processthreads"". Your last automatic update (that still cannot be disabled from settings) killed all installs on Win7 and you cannot even rollout a fix automatically because those installs don't run anymore.",other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_149349_149348,Dear @user sometimes when I'm scrolling twitter my music pauses itself and then when I click play it plays super sped up . Is this a bug or am I accidentally clicking something ? The app is running in the background so I'm not sure it's a user error,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2855921_2855919,Very strange @user bug. The background behind the username widens with every song downloaded 🤔🤔 https://t.co/fDGsqLBmCb,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2844595_2844594,"My email won't update on Spotify, and I submitted a support ticket via the Contact Us form, but it said you'll email me back to my old email that I can't access. Can I email __email__ directly?",other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_666363_666362,why can't I update my premium plan...,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_147388_147387,just run the latest update as prompted by my Marantz wi fi player and now Spotify is not an option on my player - what's happened?,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_123477_123479,Nope. No crash. Just the same 3 ads on repeat.,app_crash_technical,auto_handle,normal,App stability / crash issue: clean reinstall and cache clearance resolve issue.
case_1049684_1049683,"There are no error messages the email invite says click on the link, then enter your code and press redeem, but the only screen that comes up is the normal log on screen",other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_511820_511821,Done that and it's still coming up with the same error message,other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_622999_622998,"Hey I work at starbucks, but for some reason I cant get my free spotify premium, it always gives me an error",other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_486930_486928,I had to cancel the debit card on file for my premium account. How do I update the information for my new debit card so that my premium service is not interrupted? I do not have an email from you guys in my inbox.,other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_592817_592815,How do i update my payment info? I don't see a way on the website.,other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_620428_620427,can you help me resolve error code 4 occurring while trying to make a family member join,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_2942689_2942688,Anyone else curious why @user has an update? I feel like it’s every week. I love the service but I never see any problems.,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_2917931_2917930,I keep getting this error each time I try to stream https://t.co/Ctjf90m4aj,other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_2916548_2916550,Cool. Do you ever compensate customers for their lost access during glitches and bug outs? Because I pay for premium access and am frustrated by your service several times every week.,other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_2922441_2922439,Spotify seems to be down all over the world? Please update us. Thank you!,other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_2929217_2929216,"Hi, guys, I meet a error 600 while invite my brother into family premium, how to fix it?",other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_598525_598524,I'm running windows 7 and I'm not sure what the version is but in the update folder of the local appdata it says 1.0.69.323 https://t.co/c9O5W1vqkg,other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_2916528_2916527,"why is it so hard to add my daughter to our family account? We keep getting a nondescript error. Been going on for months, and she resorted to using her own account. Assistance please",other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
