id,text,category_tag,target_difficulty,support_response_reference
case_2979789_2979788,continuing problem. Someone got into my account & is using it. They also changed my account to a family plan. I’ve changed my FB password. What else can I do? @user @user,security_risk,hard,"Thanks for getting back to us. As this is something for our Accounts team, we'd suggest contacting them via this link here: https://t.co/fSvGOEg6Tc. Just select Logging in > I can't log in to Spotify > I STILL NEED HELP from the options. We hope this clears things up /CH"
case_461477_461476,"I'm having trouble resetting my password, can anyone help @user",security_risk,hard,Hey Flavio! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO https://t.co/ldFdZRiNAt
case_607495_607494,I was just trying to access on my PC. Getting Bad Gateway errors like above...,security_risk,hard,"Hmm. Could you try using a different browser or an incognito window? Also, can you let us know the exact operating system? /RS"
case_1983024_1983023,"it would be nice to be able to login on the web page, I can login on the app but not your home page like come on",security_risk,hard,"Hey Matthew, help's here! Could you send us your account’s email address and username? We’ll take a look under the hood /TI"
case_143019_143018,"Hi, I discovered someone was listening through my account, I clicked sign out everywhere and changed password, anything else I should do?",security_risk,hard,"Hi Nick, that doesn't sound good. Can you fire over your account's email address via DM? We'll check under the hood and see what else we can suggest /NY https://t.co/ldFdZRiNAt"
case_2964689_2964688,"How long do I need to wait until I get my account back? Someone changed my email address and now I have no access to my account. I already emailed the account changed email, but I have no idea how long I need to wait to get a response",security_risk,hard,Hey! Sorry to hear that. Can you DM us your account's username or email address? We'll take a look under the hood /CP https://t.co/ldFdZRiNAt
case_603592_603591,Why does Quebec have restrictions? It is unfair that I can't access the Student Discount!,security_risk,hard,"Hi Maria, help's here! Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZR1cbT"
case_572092_572091,"Is there a way to download or access my own user/listening data? Would love to do my own exploratory analysis on this data, and be able to archive it.",security_risk,hard,"Hey there! We're afraid this isn't possible right now, but we can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /NQ"
case_1490594_1490593,"cant login, says country code doesnt match account. But its the same. In Canada,",security_risk,hard,Hey Frank! Help's here. Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt
case_508855_508854,"I have the family plan and a hacker has hacked me twice this past month. I changed my password, but this time they changed my log in info. I cant do a thing. I NEED HELP https://t.co/8t2QYN8LtT for id proof",security_risk,hard,"Hey Nolan, that doesn't sound right! Can you DM us your account's username/email address? We'll check things backstage /JP https://t.co/ldFdZRiNAt"
